([:sflt/Rank :rdfs/label "Officer rank"]
 [:sflt/Picard :sflt/hasRank :sflt/Captain]
 [:sflt/Picard :sflt/hasName "Jean-Luc Picard"]
 [:sflt/Picard :rdfs/label "Jean-Luc Picard"]
 [:sflt/Picard :rdf/type :sflt/Nameable]
 [:sflt/Picard :rdf/type :sflt/Officer]
 [:sflt/Worf :sflt/eligibleFor :sflt/Commander]
 [:sflt/Worf :sflt/eligibleFor :sflt/LieutenantCommander]
 [:sflt/Worf :sflt/hasRank :sflt/LieutenantCommander]
 [:sflt/Worf :sflt/hasName "Worf"]
 [:sflt/Worf :rdfs/label "Worf"]
 [:sflt/Worf :rdf/type :sflt/Officer]
 [:sflt/Officer :rdfs/label "Officers"]
 [:sflt/Officer :rdf/type :owl/Class]
 [:sflt/Starfleet :sflt/hasShip :sflt/Enterprise-D]
 [:sflt/Starfleet :rdfs/label "Federation Starfleet"]
 [:sflt/Starfleet :rdf/type :sflt/Group]
 [:sflt/Troi :sflt/eligibleFor :sflt/Commander]
 [:sflt/Troi :sflt/hasRank :sflt/Commander]
 [:sflt/Troi :sflt/hasName "Counselor Deanna Troi"]
 [:sflt/Troi :rdfs/label "Counselor Deanna Troi"]
 [:sflt/Troi :rdf/type :sflt/Nameable]
 [:sflt/Troi :rdf/type :sflt/Officer]
 [:sflt/hasExplanation :rdfs/range :xsd/string]
 [:sflt/hasExplanation :rdfs/domain :sflt/PrimeDirectiveViolation]
 [:sflt/hasExplanation :rdfs/label "The explanation for the violation"]
 [:sflt/hasExplanation :rdf/type :owl/DatatypeProperty]
 [:sflt/Captain :rdfs/label "Captain"]
 [:sflt/Captain :rdf/type :sflt/Rank]
 [:sflt/eligibleFor :rdfs/range :sflt/Rank]
 [:sflt/eligibleFor :rdfs/domain :sflt/Officer]
 [:sflt/eligibleFor :rdfs/label "Rank eligibility"]
 [:sflt/eligibleFor :rdf/type :owl/ObjectProperty]
 [:sflt/hasName :rdfs/range :xsd/string]
 [:sflt/hasName :rdfs/domain :sflt/Nameable]
 [:sflt/hasName :rdfs/label "Officer name"]
 [:sflt/hasName :rdf/type :owl/DatatypeProperty]
 [:sflt/hasMission :rdfs/range :sflt/Mission]
 [:sflt/hasMission :rdfs/domain :sflt/Ship]
 [:sflt/hasMission :rdfs/label "A ship's mission"]
 [:sflt/hasMission :rdf/type :owl/ObjectProperty]
 [:sflt/Admiral :rdfs/label "Admiral"]
 [:sflt/Admiral :rdf/type :sflt/Rank]
 [:sflt/Phaser :rdf/type :sflt/FederationWeapon]
 [:sflt/BattleMission :rdfs/subClassOf :sflt/Mission]
 [:sflt/BattleMission :rdfs/label "A Battle mission"]
 [:sflt/BattleMission :rdf/type :owl/Class]
 [:sflt/Lieutenant :rdfs/label "Lietenant"]
 [:sflt/Lieutenant :rdf/type :sflt/Rank]
 [:sflt/hasRank :rdfs/range :sflt/Rank]
 [:sflt/hasRank :rdfs/domain :sflt/Officer]
 [:sflt/hasRank :rdfs/label "Officer's Rank"]
 [:sflt/hasRank :rdf/type :owl/ObjectProperty]
 [:sflt/PrimeDirectiveViolation :rdf/type :owl/Class]
 [:sflt/Cruiser :rdfs/subClassOf :sflt/StarShip]
 [:sflt/Cruiser :rdfs/label "Cruiser ships"]
 [:sflt/Cruiser :rdf/type :owl/Class]
 [:sflt/hasShip :rdfs/range :sflt/Ship]
 [:sflt/hasShip :rdfs/domain :sflt/Group]
 [:sflt/hasShip :rdfs/label "Group has ship"]
 [:sflt/hasShip :rdf/type :owl/ObjectProperty]
 [:sflt/GalaxyClass :rdfs/subClassOf :sflt/StarShip]
 [:sflt/GalaxyClass :rdfs/label "The powerful Galaxy Class Starship"]
 [:sflt/GalaxyClass :rdf/type :owl/Class]
 [:sflt/Data :sflt/eligibleFor :sflt/LieutenantCommander]
 [:sflt/Data :sflt/eligibleFor :sflt/Commander]
 [:sflt/Data :sflt/hasRank :sflt/LieutenantCommander]
 [:sflt/Data :sflt/hasName "Data"]
 [:sflt/Data :rdfs/label "Data"]
 [:sflt/Data :rdf/type :sflt/Nameable]
 [:sflt/Data :rdf/type :sflt/Officer]
 [:sflt/Shuttlecraft :rdfs/subClassOf :sflt/Ship]
 [:sflt/Shuttlecraft :rdfs/label "Shuttlecraft"]
 [:sflt/Shuttlecraft :rdf/type :owl/Class]
 [:sflt/Enterprise-D :rdf/type :sflt/Nameable]
 [:sflt/Enterprise-D :rdf/type :sflt/GalaxyClass]
 [:sflt/Enterprise-D :sflt/hasOfficer :sflt/Troi]
 [:sflt/Enterprise-D :sflt/hasOfficer :sflt/Riker]
 [:sflt/Enterprise-D :sflt/hasWeapon :sflt/Phaser]
 [:sflt/Enterprise-D :sflt/hasWeapon :sflt/PhotonTorpedo]
 [:sflt/Enterprise-D :sflt/hasOfficer :sflt/Picard]
 [:sflt/Enterprise-D :sflt/hasOfficer :sflt/DrCrusher]
 [:sflt/Enterprise-D :rdfs/label "Enterprise-D"]
 [:sflt/Enterprise-D :sflt/hasOfficer :sflt/Data]
 [:sflt/Enterprise-D :sflt/hasOfficer :sflt/LaForge]
 [:sflt/Enterprise-D :sflt/hasOfficer :sflt/Worf]
 [:sflt/Enterprise-D :sflt/hasName "Enterprise-D"]
 [:sflt/StarShip :rdfs/subClassOf :sflt/Ship]
 [:sflt/StarShip :rdfs/label "Class for Starships"]
 [:sflt/StarShip :rdf/type :owl/Class]
 [:sflt/Nameable :rdfs/label "The class of nameable things"]
 [:sflt/Nameable :rdf/type :owl/Class]
 [:sflt/hasWeapon :rdfs/range :sflt/Weapon]
 [:sflt/hasWeapon :rdfs/domain :sflt/Ship]
 [:sflt/hasWeapon :rdfs/label "Has a weapon."]
 [:sflt/hasWeapon :rdf/type :owl/ObjectProperty]
 [:sflt/FederationWeapon :rdfs/label "Weapons used by the Federation."]
 [:sflt/FederationWeapon :rdfs/subClassOf :sflt/Weapon]
 [:sflt/FederationWeapon :rdf/type :owl/Class]
 [:sflt/Ensign :rdfs/label "Ensign"]
 [:sflt/Ensign :rdf/type :sflt/Rank]
 [:sflt/Riker :sflt/eligibleFor :sflt/Captain]
 [:sflt/Riker :sflt/eligibleFor :sflt/Commander]
 [:sflt/Riker :sflt/hasRank :sflt/Commander]
 [:sflt/Riker :sflt/hasName "William T. Riker"]
 [:sflt/Riker :rdfs/label "William T. Riker"]
 [:sflt/Riker :rdf/type :sflt/Nameable]
 [:sflt/Riker :rdf/type :sflt/Officer]
 [:sflt/Mission :rdfs/label "A mission"]
 [:sflt/Mission :rdf/type :owl/Class]
 [:sflt/hasOfficer :rdfs/range :sflt/Officer]
 [:sflt/hasOfficer :rdfs/domain :sflt/Ship]
 [:sflt/hasOfficer :rdfs/label "An officer assigned to a ship"]
 [:sflt/hasOfficer :rdf/type :owl/ObjectProperty]
 [:sflt/hasShuttle :rdfs/range :sflt/Shuttlecraft]
 [:sflt/hasShuttle :rdfs/domain :sflt/StarShip]
 [:sflt/hasShuttle :rdfs/label "Shuttlecraft on a StarShip"]
 [:sflt/hasShuttle :rdf/type :owl/ObjectProperty]
 [:sflt/Group :rdfs/label "Group - Starfleet, KDF, etc"]
 [:sflt/Group :rdf/type :owl/Class])
